ID,Project,File Upload Id,Mark,Quantity,Area,Location,Door Ref,Door Size,Door Width,Door Height,Door Thickness,Door Material,Fire Rating,Frame Ref,Frame Size,Frame Width,Frame Height,Frame Throat,Hardware Ref,Remarks,Extra,Hardware Sets,Sync to Openings
1815,"""Hilton Garden Inn_Monroe, PA""",,007C,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,F1,,,,,17,,TO ROOM : FOOD PREP; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1816,"""Hilton Garden Inn_Monroe, PA""",,009,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,F1,,,,,20,,TO ROOM : WORK STATIONS; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1817,"""Hilton Garden Inn_Monroe, PA""",,010A,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,F1,,,,,20,,TO ROOM : MANAGER'S OFFICE; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1818,"""Hilton Garden Inn_Monroe, PA""",,010B,,,,D1,"2'-8"" x 6'-8""","2'-8""","6'-8""","1 3/4""",,,F1,,,,,26,,TO ROOM : CLOSET; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1819,"""Hilton Garden Inn_Monroe, PA""",,012A,,,,D1,"3'-6"" x 7'-0""","3'-6""","7'-0""","1 3/4""",,,F1,,,,,19,,TO ROOM : LAUNDRY DISCHARGE; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : 45,,
1820,"""Hilton Garden Inn_Monroe, PA""",,012B,,,,D1,"3'-6"" x 7'-0""","3'-6""","7'-0""","1 3/4""",,,F1,,,,,25,,TO ROOM : LAUNDRY; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : 45,,
1821,"""Hilton Garden Inn_Monroe, PA""",,013,,,,D1,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,F1,,,,,20,,TO ROOM : LAUNDRY; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : 45,,
1822,"""Hilton Garden Inn_Monroe, PA""",,013A,,,,D1,"2'-6"" x 7'-0""","2'-6""","7'-0""","1 3/4""",,,F1,,,,,26,,TO ROOM : DRYER ROOM; SIZE : SGL; MATERIAL : HM; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1823,"""Hilton Garden Inn_Monroe, PA""",,014,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,,,,,,14,,TO ROOM : STORAGE; SIZE : SGL; MATERIAL : ---; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1824,"""Hilton Garden Inn_Monroe, PA""",,015,,,,D4,"3'-0"" x 8'-8""","3'-0""","8'-8""","1 3/4""",,,,,,,,12,,TO ROOM : INDOOR POOL; SIZE : SGL; MATERIAL : ALUM; FINISH : ---; FRAME MATERIAL : ALUM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : c,,
1825,"""Hilton Garden Inn_Monroe, PA""",,015A,,,,D3,"4'-0"" x 8'-0""","4'-0""","8'-0""","1 3/4""",,,F2,,,,,13,,TO ROOM : POOL MECHANICAL; SIZE : PR; MATERIAL : GALV HM; FINISH : ---; FRAME MATERIAL : GALV HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1826,"""Hilton Garden Inn_Monroe, PA""",,015B,,,,D3,"4'-0"" x 8'-0""","4'-0""","8'-0""","1 3/4""",,,F2,,,,,13,,TO ROOM : POOL EQUIP; SIZE : PR; MATERIAL : GALV HM; FINISH : ---; FRAME MATERIAL : GALV HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1827,"""Hilton Garden Inn_Monroe, PA""",,016,,,,D4,"3'-0"" x 8'-8""","3'-0""","8'-8""","1 3/4""",,,,,,,,12,,TO ROOM : GRILLING PATIO; SIZE : SGL; MATERIAL : ALUM; FINISH : ---; FRAME MATERIAL : ALUM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : c,,
1828,"""Hilton Garden Inn_Monroe, PA""",,016B,,,,D1,"2'-2"" x 6'-8""","2'-2""","6'-8""","1 3/4""",,,,,,,,14,,TO ROOM : POOL STORAGE; SIZE : SGL; MATERIAL : GALV HM; FINISH : ---; FRAME MATERIAL : GALV HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1829,"""Hilton Garden Inn_Monroe, PA""",,017,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,F1,,,,,21,,TO ROOM : UNISEX; SIZE : SGL; MATERIAL : GALV HM; FINISH : ---; FRAME MATERIAL : GALV HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1830,"""Hilton Garden Inn_Monroe, PA""",,018,,,,D1,"3'-6"" x 7'-0""","3'-6""","7'-0""","1 3/4""",,90,F1,,,,,11,,TO ROOM : STORAGE; SIZE : SGL; MATERIAL : GALV HM; FINISH : ---; FRAME MATERIAL : GALV HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : g,,
1831,"""Hilton Garden Inn_Monroe, PA""",,020,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,F1,,,,,21,,TO ROOM : WORKSHOP; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1832,"""Hilton Garden Inn_Monroe, PA""",,021,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,F1,,,,,21,,TO ROOM : MENS; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1833,"""Hilton Garden Inn_Monroe, PA""",,022,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,F1,,,,,14,,TO ROOM : STORAGE; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1834,"""Hilton Garden Inn_Monroe, PA""",,023,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,F1,,,,,18,,TO ROOM : SALES; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1835,"""Hilton Garden Inn_Monroe, PA""",,024,,,,D4,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,7,,TO ROOM : FITNESS ROOM; SIZE : SGL; MATERIAL : GL; FINISH : ---; FRAME MATERIAL : ALUM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1836,"""Hilton Garden Inn_Monroe, PA""",,025A,,,,,"3'-6"" x 7'-0""","3'-6""","7'-0""","1 3/4""",,,F1,,,,,,,TO ROOM : GUEST LAUNDRY; SIZE : ---; MATERIAL : ---; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1837,"""Hilton Garden Inn_Monroe, PA""",,025B,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,F1,,,,,26,,TO ROOM : MECHANICAL; SIZE : SGL; MATERIAL : HM; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1838,"""Hilton Garden Inn_Monroe, PA""",,026A,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,F1,,,,,18,,TO ROOM : MECHANICAL ROOM; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : 45,,
1839,"""Hilton Garden Inn_Monroe, PA""",,026B,,,,D1,"3'-6"" x 7'-0""","3'-6""","7'-0""","1 3/4""",,,F1,,,,,27,,TO ROOM : MECHANICAL ROOM; SIZE : SGL; MATERIAL : GALV HM; FINISH : ---; FRAME MATERIAL : GALV HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : 45,,
1840,"""Hilton Garden Inn_Monroe, PA""",,027,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,F1,,,,,18,,TO ROOM : ELECTRICAL; SIZE : SGL; MATERIAL : HM; FINISH : ---; FRAME MATERIAL : GALV HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1841,"""Hilton Garden Inn_Monroe, PA""",,028,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,F1,,,,,17,,TO ROOM : PBX; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1842,"""Hilton Garden Inn_Monroe, PA""",,029,,,,D1,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,F1,,,,,17,,TO ROOM : LAUNDRY; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1843,"""Hilton Garden Inn_Monroe, PA""",,030,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,F1,,,,,17,,TO ROOM : ENGINEER; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1844,"""Hilton Garden Inn_Monroe, PA""",,051,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,90,F1,,,,,16,,TO ROOM : STAIR; SIZE : SGL; MATERIAL : GALV HM; FINISH : ---; FRAME MATERIAL : GALV HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : g,,
1845,"""Hilton Garden Inn_Monroe, PA""",,052A,,,,D1,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,90,F1,,,,,15,,TO ROOM : STAIR 2; SIZE : SGL; MATERIAL : HM; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1846,"""Hilton Garden Inn_Monroe, PA""",,052B,,,,D1,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,90,F1,,,,,16,,TO ROOM : STAIR 2; SIZE : SGL; MATERIAL : GALV HM; FINISH : ---; FRAME MATERIAL : GALV HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : g,,
1847,"""Hilton Garden Inn_Monroe, PA""",,133A,,,,D1,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,F1,,,,,22,,TO ROOM : GUEST CORRIDOR; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1848,"""Hilton Garden Inn_Monroe, PA""",,133B,,,,D1,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,F1,,,,,12,,"TO ROOM : GUEST CORRIDOR; SIZE : SGL; MATERIAL : ALUM/GL; FINISH : ---; FRAME MATERIAL : ALUM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : c,g",,
1849,"""Hilton Garden Inn_Monroe, PA""",,X29,,,,D2,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,F1,,,,,28,,TO ROOM : MEETING ROOM; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; SILL : ; COMMENTS : ,,
1850,"""Hilton Garden Inn_Monroe, PA""",,LEVEL 02,,,,,0 x 0,,,,,,,,,,,,,,,
1851,"""Hilton Garden Inn_Monroe, PA""",,x34,,,,D3,"4'-0"" x 6'-8""","4'-0""","6'-8""","1 3/4""",,45,F2,,,,,23,,TO ROOM : CORRIDOR; SIZE : PR; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ; DETAIL JAMB : ; SILL : ; COMMENTS : ,,
1852,"""Hilton Garden Inn_Monroe, PA""",,x35,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,45,F1,,,,,24,,TO ROOM : HOUSEKEEPING; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ; DETAIL JAMB : ; SILL : ; COMMENTS : ,,
1853,"""Hilton Garden Inn_Monroe, PA""",,x51,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,90,F1,,,,,15,,TO ROOM : STAIR #1; SIZE : SGL; MATERIAL : HM; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ; DETAIL JAMB : ; SILL : ; COMMENTS : ,,
1854,"""Hilton Garden Inn_Monroe, PA""",,X52,,123,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,90,F1,,,,,15,,TO ROOM : STAIR #2; SIZE : SGL; MATERIAL : HM; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ; DETAIL JAMB : ; SILL : ; COMMENTS : ,,
1924,"""Hilton Garden Inn_Monroe, PA""",,LEVEL 01,,,,,0 x 0,,,,,,,,,,,,,,,
1925,"""Hilton Garden Inn_Monroe, PA""",,001A,,,,D8,"4'-0"" x 8'-8""","4'-0""","8'-8""","1 3/4""",,,---,,,,,6,,TO ROOM: VESTIBULE; SIZE: --; MATERIAL: ALUM; FINISH: ---; FRAME MATERIAL: ALUM; FINISH: ---; HEAD: ---; DETAIL JAMB: ---; SILL: ; COMMENTS: b,,
1926,"""Hilton Garden Inn_Monroe, PA""",,001B,,,,D8,"4'-0"" x 8'-8""","4'-0""","8'-8""","1 3/4""",,,---,,,,,---,,TO ROOM: VESTIBULE; SIZE: --; MATERIAL: ALUM; FINISH: ---; FRAME MATERIAL: ALUM; FINISH: ---; HEAD: ---; DETAIL JAMB: ---; SILL: ; COMMENTS: b,,
1927,"""Hilton Garden Inn_Monroe, PA""",,001C,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,---,,,,,14,,TO ROOM: MECHANICAL; SIZE: SGL; MATERIAL: HM; FINISH: ---; FRAME MATERIAL: HM; FINISH: ---; HEAD: ---; DETAIL JAMB: ---; SILL: ; COMMENTS: ,,
1928,"""Hilton Garden Inn_Monroe, PA""",,002,,,,D4,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,---,,,,,12,,TO ROOM: LOBBY; SIZE: SGL; MATERIAL: ALUM; FINISH: ---; FRAME MATERIAL: ALUM; FINISH: ---; HEAD: ---; DETAIL JAMB: ---; SILL: ; COMMENTS: ,,
1929,"""Hilton Garden Inn_Monroe, PA""",,003A,,,,D4,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,---,,,,,10,,TO ROOM: VESTIBULE; SIZE: SGL; MATERIAL: ALUM; FINISH: ---; FRAME MATERIAL: ALUM; FINISH: ---; HEAD: ---; DETAIL JAMB: ---; SILL: ; COMMENTS: c,,
1930,"""Hilton Garden Inn_Monroe, PA""",,GR-01,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1-3/4""",,,F1,,,,,1,,TO ROOM: ENTRY; SIZE: SGL; DOOR MATERIAL: SC WOOD; FRAME MATERIAL: HM; COMMENTS: ③,,
1931,"""Hilton Garden Inn_Monroe, PA""",,GR-02,,,,D1,"2'-6"" x 6'-8""","2'-6""","6'-8""","1-3/4""",,,F1,,,,,3,,TO ROOM: STORAGE; SIZE: SGL; DOOR MATERIAL: SC WOOD; FRAME MATERIAL: HM; COMMENTS: ③,,
1932,"""Hilton Garden Inn_Monroe, PA""",,GR-03,,,,D1,"2'-4"" x 6'-8""","2'-4""","6'-8""","1-3/4""",,45,F1,,,,,3,,TO ROOM: CONNECTING; SIZE: SGL; DOOR MATERIAL: SC WOOD; FRAME MATERIAL: HM; COMMENTS: ③,,
1933,"""Hilton Garden Inn_Monroe, PA""",,GR-04,,,,D1,"2'-6"" x 6'-8""","2'-6""","6'-8""","1-3/4""",,,F1,,,,,4,,TO ROOM: BATH AREA; SIZE: SGL; DOOR MATERIAL: SC WOOD; FRAME MATERIAL: HM; COMMENTS: ③,,
1934,"""Hilton Garden Inn_Monroe, PA""",,GR-05,,,,D1,"2'-6"" x 6'-8""","2'-6""","6'-8""","1-3/4""",,,F1,,,,,3,,TO ROOM: MECH; SIZE: SGL; DOOR MATERIAL: SC WOOD; FRAME MATERIAL: HM; COMMENTS: ③,,
1935,"""Hilton Garden Inn_Monroe, PA""",,GR-06,,,,D1,"2'-4"" x 6'-8""","2'-4""","6'-8""","1-3/4""",,,F1,,,,,4,,TO ROOM: BATH; SIZE: SGL; DOOR MATERIAL: SC WOOD; FRAME MATERIAL: HM; COMMENTS: ③,,
1936,"""Hilton Garden Inn_Monroe, PA""",,001,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1-3/4""",,,,,,,,1,,LEVEL: 01; TO ROOM: VESTIBULE; SIZE: SGL; DOOR MATERIAL: ALUM; FRAME MATERIAL: ALUM,,
1937,"""Hilton Garden Inn_Monroe, PA""",,001C,,,,D1,"2'-6"" x 6'-8""","2'-6""","6'-8""","1-3/4""",,,,,,,,14,,LEVEL: 01; TO ROOM: MECHANICAL; SIZE: SGL; DOOR MATERIAL: HM; FRAME MATERIAL: HM,,
1938,"""Hilton Garden Inn_Monroe, PA""",,002,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1-3/4""",,,,,,,,12,,LEVEL: 01; TO ROOM: LOBBY; SIZE: SGL; DOOR MATERIAL: ALUM; FRAME MATERIAL: ALUM,,
1939,"""Hilton Garden Inn_Monroe, PA""",,003,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1-3/4""",,,,,,,,12,,LEVEL: 01; TO ROOM: VESTIBULE; SIZE: SGL; DOOR MATERIAL: ALUM; FRAME MATERIAL: ALUM,,
1940,"""Hilton Garden Inn_Monroe, PA""",,003B,,,,D4,"3'-0"" x 6'-8""","3'-0""","6'-8""","1-3/4""",,,,,,,,8,,LEVEL: 01; TO ROOM: INDOOR POOL; SIZE: SGL; DOOR MATERIAL: ALUM; FRAME MATERIAL: ALUM,,
1941,"""Hilton Garden Inn_Monroe, PA""",,LEVEL 01,,,,,0 x 0,,,,,,,,,,,,,,,
1942,"""Hilton Garden Inn_Monroe, PA""",,001A,,,,D8,"4'-0"" x 8'-8""","4'-0""","8'-8""","1 3/4""",,,---,,,,,6,,TO ROOM : VESTIBULE; SIZE : --; MATERIAL : ALUM; FINISH : ---; FRAME MATERIAL : ALUM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; COMMENTS : b,,
1943,"""Hilton Garden Inn_Monroe, PA""",,001B,,,,D8,"4'-0"" x 8'-8""","4'-0""","8'-8""","1 3/4""",,,---,,,,,---,,TO ROOM : VESTIBULE; SIZE : --; MATERIAL : ALUM; FINISH : ---; FRAME MATERIAL : ALUM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; COMMENTS : b,,
1944,"""Hilton Garden Inn_Monroe, PA""",,001C,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,---,,,,,14,,TO ROOM : MECHANICAL; SIZE : SGL; MATERIAL : HM; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---,,
1945,"""Hilton Garden Inn_Monroe, PA""",,002,,,,D4,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,---,,,,,12,,TO ROOM : LOBBY; SIZE : SGL; MATERIAL : ALUM; FINISH : ---; FRAME MATERIAL : ALUM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---,,
1946,"""Hilton Garden Inn_Monroe, PA""",,003A,,,,D4,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,---,,,,,10,,TO ROOM : VESTIBULE; SIZE : SGL; MATERIAL : ALUM; FINISH : ---; FRAME MATERIAL : ALUM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; COMMENTS : c,,
1947,"""Hilton Garden Inn_Monroe, PA""",,003B,,,,D4,"3'-0"" x 8'-8""","3'-0""","8'-8""","1 3/4""",,,---,,,,,9,,TO ROOM : INDOOR POOL; SIZE : SGL; MATERIAL : ALUM; FINISH : ---; FRAME MATERIAL : ALUM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---; COMMENTS : c,,
1948,"""Hilton Garden Inn_Monroe, PA""",,006A,,,,--,--- x ---,---,---,---,,,---,,,,,---,,TO ROOM : NOT USED; SIZE : --; MATERIAL : ---; FINISH : ---; FRAME MATERIAL : ---; FINISH : ---; HEAD : ---; DETAIL JAMB : ---,,
1949,"""Hilton Garden Inn_Monroe, PA""",,006B,,,,--,--- x ---,---,---,---,,,---,,,,,---,,TO ROOM : NOT USED; SIZE : --; MATERIAL : ---; FINISH : ---; FRAME MATERIAL : ---; FINISH : ---; HEAD : ---; DETAIL JAMB : ---,,
1950,"""Hilton Garden Inn_Monroe, PA""",,007B,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,F1,,,,,17,,TO ROOM : FOOD PREP; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---,,
1951,"""Hilton Garden Inn_Monroe, PA""",,007C,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,F1,,,,,17,,TO ROOM : FOOD PREP; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---,,
1952,"""Hilton Garden Inn_Monroe, PA""",,009,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,F1,,,,,20,,TO ROOM : WORK STATIONS; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---,,
1953,"""Hilton Garden Inn_Monroe, PA""",,010A,,,,D1,"3'-0"" x 6'-8""","3'-0""","6'-8""","1 3/4""",,,F1,,,,,20,,TO ROOM : MANAGER'S OFFICE; SIZE : SGL; MATERIAL : SC WOOD; FINISH : ---; FRAME MATERIAL : HM; FINISH : ---; HEAD : ---; DETAIL JAMB : ---,,
