Line Item ID,Customers,Project,Opening ID,Component,Category,Hardware Sets,Quantity,Base Cost Reg,Base Cost (With OR),Total Cost,% Markup,Price Overrides (Table),HW - Price Override,Door- Price Override,Frame - Price Override ,Markup,% Markup Override,Unit Price,Final Price,C Composite Key,M Composite Key,P Composite Key,Openings,Price Override,Markup Override,Default Markup (from Project),Component Summary,P_Record_ID,C_Record_ID,Hardware Sets copy,Components copy,Components copy,Items (Nested),From field: Items (Nested)
433,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Door: Solid Core Wood, Veneer""",Door,,1,$0.00,$0.00,$0.00,200%,6,$196.00,,,H2S Brooklyn _Brooklyn NY_Door_200%,200%,$0.00,$0.00,H2S Brooklyn _Brooklyn NY_Door,H2S Brooklyn _Brooklyn NY_Door,"H2S Brooklyn _Brooklyn NY_""Door: Solid Core Wood, Veneer""",,,,35%,,recMVvtxnsuyKchnW,recVUZ04SoVS7jtZz,,,"""Door: Solid Core Wood, Flush, Veneer""",,
435,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",Hardware,H2S Brooklyn _Brooklyn NY - 12,3,$3.96,$3.96,$11.88,35%,,,,,,,$5.35,$16.04,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",,,,35%,,recMVvtxnsuyKchnW,rec2oJ5Tew3IJ5h5b,,,"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",,
434,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Frame: Hollow Metal, Cased Welded, (18 Gauge)""",Frame,,1,$0.00,$0.00,$0.00,200%,8,$601.00,,,H2S Brooklyn _Brooklyn NY_Door_200%,200%,$0.00,$0.00,H2S Brooklyn _Brooklyn NY_Frame,H2S Brooklyn _Brooklyn NY_Door,"H2S Brooklyn _Brooklyn NY_""Frame: Hollow Metal, Cased Welded, (18 Gauge)""",,,,35%,,recMVvtxnsuyKchnW,rec9keYYMPz6r095w,,,"""Frame: Hollow Metal, Cased Welded, (18 Gauge)""",,
436,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""",Hardware,H2S Brooklyn _Brooklyn NY - 12,1,$4.96,$4.96,$4.96,35%,,,,,,,$6.70,$6.70,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""",,,,35%,,recMVvtxnsuyKchnW,recgOoqq2trekKUUQ,,,"""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""",,
437,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Cylindrical Lock, 2570 2-3/4 WTN NC ASA IC, US26D""",Hardware,H2S Brooklyn _Brooklyn NY - 12,1,$12.00,$12.00,$12.00,35%,,,,,,,$16.20,$16.20,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Cylindrical Lock, 2570 2-3/4 WTN NC ASA IC, US26D""",,,,35%,,recMVvtxnsuyKchnW,recBPoYrUBYUgeC2B,,,"""Hardware: Hager, Cylindrical Lock, 2570 2-3/4 WTN NC ASA IC, US26D""",,
438,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Door: Solid Core Wood, Veneer""",Door,,3,$0.00,$0.00,$0.00,200%,6,$196.00,,,H2S Brooklyn _Brooklyn NY_Door_200%,200%,$0.00,$0.00,H2S Brooklyn _Brooklyn NY_Door,H2S Brooklyn _Brooklyn NY_Door,"H2S Brooklyn _Brooklyn NY_""Door: Solid Core Wood, Veneer""",,,,35%,,recMVvtxnsuyKchnW,recVUZ04SoVS7jtZz,,,"""Door: Solid Core Wood, Flush, Veneer""",,
440,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",Hardware,H2S Brooklyn _Brooklyn NY - 12,9,$3.96,$3.96,$35.64,35%,,,,,,,$5.35,$48.11,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",,,,35%,,recMVvtxnsuyKchnW,rec2oJ5Tew3IJ5h5b,,,"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",,
439,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Frame: Hollow Metal, Cased Welded, (18 Gauge)""",Frame,,3,$0.00,$0.00,$0.00,200%,8,$601.00,,,H2S Brooklyn _Brooklyn NY_Door_200%,200%,$0.00,$0.00,H2S Brooklyn _Brooklyn NY_Frame,H2S Brooklyn _Brooklyn NY_Door,"H2S Brooklyn _Brooklyn NY_""Frame: Hollow Metal, Cased Welded, (18 Gauge)""",,,,35%,,recMVvtxnsuyKchnW,rec9keYYMPz6r095w,,,"""Frame: Hollow Metal, Cased Welded, (18 Gauge)""",,
441,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""",Hardware,H2S Brooklyn _Brooklyn NY - 12,3,$4.96,$4.96,$14.88,35%,,,,,,,$6.70,$20.09,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""",,,,35%,,recMVvtxnsuyKchnW,recgOoqq2trekKUUQ,,,"""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""",,
442,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Cylindrical Lock, 2570 2-3/4 WTN NC ASA IC, US26D""",Hardware,H2S Brooklyn _Brooklyn NY - 12,3,$12.00,$12.00,$36.00,35%,,,,,,,$16.20,$48.60,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Cylindrical Lock, 2570 2-3/4 WTN NC ASA IC, US26D""",,,,35%,,recMVvtxnsuyKchnW,recBPoYrUBYUgeC2B,,,"""Hardware: Hager, Cylindrical Lock, 2570 2-3/4 WTN NC ASA IC, US26D""",,
443,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Door: Solid Core Wood, Veneer""",Door,,3,$0.00,$0.00,$0.00,200%,6,$196.00,,,H2S Brooklyn _Brooklyn NY_Door_200%,200%,$0.00,$0.00,H2S Brooklyn _Brooklyn NY_Door,H2S Brooklyn _Brooklyn NY_Door,"H2S Brooklyn _Brooklyn NY_""Door: Solid Core Wood, Veneer""",,,,35%,,recMVvtxnsuyKchnW,recVUZ04SoVS7jtZz,,,"""Door: Solid Core Wood, Flush, Veneer""",,
444,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Frame: Hollow Metal, Cased Welded, (18 Gauge)""",Frame,,3,$0.00,$0.00,$0.00,200%,8,$601.00,,,H2S Brooklyn _Brooklyn NY_Door_200%,200%,$0.00,$0.00,H2S Brooklyn _Brooklyn NY_Frame,H2S Brooklyn _Brooklyn NY_Door,"H2S Brooklyn _Brooklyn NY_""Frame: Hollow Metal, Cased Welded, (18 Gauge)""",,,,35%,,recMVvtxnsuyKchnW,rec9keYYMPz6r095w,,,"""Frame: Hollow Metal, Cased Welded, (18 Gauge)""",,
445,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Kick Plate, 190S 10x46, US4""",Hardware,,3,$12.00,$3001.00,$9003.00,35%,5,$3001.00,,,,,$4051.35,$12154.05,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Kick Plate, 190S 10x46, US4""",,,,35%,,recMVvtxnsuyKchnW,recWRRjQRW0oXkCcB,,,"""Hardware: Hager, Kick Plate, 190S 10x46, US4""",,
447,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""",Hardware,H2S Brooklyn _Brooklyn NY - 12,3,$4.96,$4.96,$14.88,35%,,,,,,,$6.70,$20.09,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""",,,,35%,,recMVvtxnsuyKchnW,recgOoqq2trekKUUQ,,,"""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""",,
446,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",Hardware,H2S Brooklyn _Brooklyn NY - 12,9,$3.96,$3.96,$35.64,35%,,,,,,,$5.35,$48.11,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",,,,35%,,recMVvtxnsuyKchnW,rec2oJ5Tew3IJ5h5b,,,"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",,
448,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Cylindrical Lock, 2570 2-3/4 WTN NC ASA IC, US26D""",Hardware,H2S Brooklyn _Brooklyn NY - 12,3,$12.00,$12.00,$36.00,35%,,,,,,,$16.20,$48.60,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Cylindrical Lock, 2570 2-3/4 WTN NC ASA IC, US26D""",,,,35%,,recMVvtxnsuyKchnW,recBPoYrUBYUgeC2B,,,"""Hardware: Hager, Cylindrical Lock, 2570 2-3/4 WTN NC ASA IC, US26D""",,
450,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Frame: Hollow Metal, KD, (16 Gauge)""",Frame,,1,$0.00,$0.00,$0.00,200%,2,$26.00,,,H2S Brooklyn _Brooklyn NY_Door_200%,200%,$0.00,$0.00,H2S Brooklyn _Brooklyn NY_Frame,H2S Brooklyn _Brooklyn NY_Door,"H2S Brooklyn _Brooklyn NY_""Frame: Hollow Metal, KD, (16 Gauge)""",,,,35%,,recMVvtxnsuyKchnW,recWDXRqyasKYHX11,,,"""Frame: Hollow Metal, KD, (16 Gauge)""",,
449,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Door: Solid Core Wood, Plastic Laminate """,Door,,1,$0.00,$0.00,$0.00,200%,7,$501.00,,,H2S Brooklyn _Brooklyn NY_Door_200%,200%,$0.00,$0.00,H2S Brooklyn _Brooklyn NY_Door,H2S Brooklyn _Brooklyn NY_Door,"H2S Brooklyn _Brooklyn NY_""Door: Solid Core Wood, Plastic Laminate """,,,,35%,,recMVvtxnsuyKchnW,recgJV17nGr8Am78I,,,"""Door: Solid Core Wood, Flush, Plastic Laminate """,,
452,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Door: Solid Core Wood, Veneer""",Door,,2,$0.00,$0.00,$0.00,200%,6,$196.00,,,H2S Brooklyn _Brooklyn NY_Door_200%,200%,$0.00,$0.00,H2S Brooklyn _Brooklyn NY_Door,H2S Brooklyn _Brooklyn NY_Door,"H2S Brooklyn _Brooklyn NY_""Door: Solid Core Wood, Veneer""",,,,35%,,recMVvtxnsuyKchnW,recVUZ04SoVS7jtZz,,,"""Door: Solid Core Wood, Flush, Veneer""",,
453,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Frame: Hollow Metal, Cased Welded, (18 Gauge)""",Frame,,2,$0.00,$0.00,$0.00,200%,8,$601.00,,,H2S Brooklyn _Brooklyn NY_Door_200%,200%,$0.00,$0.00,H2S Brooklyn _Brooklyn NY_Frame,H2S Brooklyn _Brooklyn NY_Door,"H2S Brooklyn _Brooklyn NY_""Frame: Hollow Metal, Cased Welded, (18 Gauge)""",,,,35%,,recMVvtxnsuyKchnW,rec9keYYMPz6r095w,,,"""Frame: Hollow Metal, Cased Welded, (18 Gauge)""",,
454,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Kick Plate, 190S 10x46, US4""",Hardware,,2,$12.00,$3001.00,$6002.00,35%,5,$3001.00,,,,,$4051.35,$8102.70,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Kick Plate, 190S 10x46, US4""",,,,35%,,recMVvtxnsuyKchnW,recWRRjQRW0oXkCcB,,,"""Hardware: Hager, Kick Plate, 190S 10x46, US4""",,
455,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",Hardware,H2S Brooklyn _Brooklyn NY - 12,6,$3.96,$3.96,$23.76,35%,,,,,,,$5.35,$32.08,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",,,,35%,,recMVvtxnsuyKchnW,rec2oJ5Tew3IJ5h5b,,,"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",,
456,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""",Hardware,H2S Brooklyn _Brooklyn NY - 12,2,$4.96,$4.96,$9.92,35%,,,,,,,$6.70,$13.39,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""",,,,35%,,recMVvtxnsuyKchnW,recgOoqq2trekKUUQ,,,"""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""",,
458,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Door: Solid Core Wood, Plastic Laminate """,Door,,1,$0.00,$0.00,$0.00,200%,7,$501.00,,,H2S Brooklyn _Brooklyn NY_Door_200%,200%,$0.00,$0.00,H2S Brooklyn _Brooklyn NY_Door,H2S Brooklyn _Brooklyn NY_Door,"H2S Brooklyn _Brooklyn NY_""Door: Solid Core Wood, Plastic Laminate """,,,,35%,,recMVvtxnsuyKchnW,recgJV17nGr8Am78I,,,"""Door: Solid Core Wood, Flush, Plastic Laminate """,,
459,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Frame: Hollow Metal, KD, (16 Gauge)""",Frame,,1,$0.00,$0.00,$0.00,200%,2,$26.00,,,H2S Brooklyn _Brooklyn NY_Door_200%,200%,$0.00,$0.00,H2S Brooklyn _Brooklyn NY_Frame,H2S Brooklyn _Brooklyn NY_Door,"H2S Brooklyn _Brooklyn NY_""Frame: Hollow Metal, KD, (16 Gauge)""",,,,35%,,recMVvtxnsuyKchnW,recWDXRqyasKYHX11,,,"""Frame: Hollow Metal, KD, (16 Gauge)""",,
457,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Cylindrical Lock, 2570 2-3/4 WTN NC ASA IC, US26D""",Hardware,H2S Brooklyn _Brooklyn NY - 12,2,$12.00,$12.00,$24.00,35%,,,,,,,$16.20,$32.40,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Cylindrical Lock, 2570 2-3/4 WTN NC ASA IC, US26D""",,,,35%,,recMVvtxnsuyKchnW,recBPoYrUBYUgeC2B,,,"""Hardware: Hager, Cylindrical Lock, 2570 2-3/4 WTN NC ASA IC, US26D""",,
460,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Push Plate, 30S 4x16, US26D""",Hardware,,1,$0.00,$290.00,$290.00,35%,9,$290.00,,,,,$391.50,$391.50,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Push Plate, 30S 4x16, US26D""",,,,35%,,recMVvtxnsuyKchnW,rec3cjiQto7Wdlnz9,,,"""Hardware: Hager, Push Plate, 30S 4x16, US26D""",,
461,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Door: Solid Core Wood, Veneer""",Door,,2,$0.00,$0.00,$0.00,200%,6,$196.00,,,H2S Brooklyn _Brooklyn NY_Door_200%,200%,$0.00,$0.00,H2S Brooklyn _Brooklyn NY_Door,H2S Brooklyn _Brooklyn NY_Door,"H2S Brooklyn _Brooklyn NY_""Door: Solid Core Wood, Veneer""",,,,35%,,recMVvtxnsuyKchnW,recVUZ04SoVS7jtZz,,,"""Door: Solid Core Wood, Flush, Veneer""",,
462,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Frame: Hollow Metal, Cased Welded, (18 Gauge)""",Frame,,2,$0.00,$0.00,$0.00,200%,8,$601.00,,,H2S Brooklyn _Brooklyn NY_Door_200%,200%,$0.00,$0.00,H2S Brooklyn _Brooklyn NY_Frame,H2S Brooklyn _Brooklyn NY_Door,"H2S Brooklyn _Brooklyn NY_""Frame: Hollow Metal, Cased Welded, (18 Gauge)""",,,,35%,,recMVvtxnsuyKchnW,rec9keYYMPz6r095w,,,"""Frame: Hollow Metal, Cased Welded, (18 Gauge)""",,
463,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Kick Plate, 190S 10x46, US4""",Hardware,,2,$12.00,$3001.00,$6002.00,35%,5,$3001.00,,,,,$4051.35,$8102.70,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Kick Plate, 190S 10x46, US4""",,,,35%,,recMVvtxnsuyKchnW,recWRRjQRW0oXkCcB,,,"""Hardware: Hager, Kick Plate, 190S 10x46, US4""",,
464,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",Hardware,H2S Brooklyn _Brooklyn NY - 12,6,$3.96,$3.96,$23.76,35%,,,,,,,$5.35,$32.08,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",,,,35%,,recMVvtxnsuyKchnW,rec2oJ5Tew3IJ5h5b,,,"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""",,
465,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""",Hardware,H2S Brooklyn _Brooklyn NY - 12,2,$4.96,$4.96,$9.92,35%,,,,,,,$6.70,$13.39,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""",,,,35%,,recMVvtxnsuyKchnW,recgOoqq2trekKUUQ,,,"""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""",,
468,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Frame: Hollow Metal, KD, (16 Gauge)""",Frame,,1,$0.00,$0.00,$0.00,200%,2,$26.00,,,H2S Brooklyn _Brooklyn NY_Door_200%,200%,$0.00,$0.00,H2S Brooklyn _Brooklyn NY_Frame,H2S Brooklyn _Brooklyn NY_Door,"H2S Brooklyn _Brooklyn NY_""Frame: Hollow Metal, KD, (16 Gauge)""",,,,35%,,recMVvtxnsuyKchnW,recWDXRqyasKYHX11,,,"""Frame: Hollow Metal, KD, (16 Gauge)""",,
467,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Door: Solid Core Wood, Plastic Laminate """,Door,,1,$0.00,$0.00,$0.00,200%,7,$501.00,,,H2S Brooklyn _Brooklyn NY_Door_200%,200%,$0.00,$0.00,H2S Brooklyn _Brooklyn NY_Door,H2S Brooklyn _Brooklyn NY_Door,"H2S Brooklyn _Brooklyn NY_""Door: Solid Core Wood, Plastic Laminate """,,,,35%,,recMVvtxnsuyKchnW,recgJV17nGr8Am78I,,,"""Door: Solid Core Wood, Flush, Plastic Laminate """,,
466,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Cylindrical Lock, 2570 2-3/4 WTN NC ASA IC, US26D""",Hardware,H2S Brooklyn _Brooklyn NY - 12,2,$12.00,$12.00,$24.00,35%,,,,,,,$16.20,$32.40,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Cylindrical Lock, 2570 2-3/4 WTN NC ASA IC, US26D""",,,,35%,,recMVvtxnsuyKchnW,recBPoYrUBYUgeC2B,,,"""Hardware: Hager, Cylindrical Lock, 2570 2-3/4 WTN NC ASA IC, US26D""",,
469,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Push Plate, 30S 4x16, US26D""",Hardware,,1,$0.00,$290.00,$290.00,35%,9,$290.00,,,,,$391.50,$391.50,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Push Plate, 30S 4x16, US26D""",,,,35%,,recMVvtxnsuyKchnW,rec3cjiQto7Wdlnz9,,,"""Hardware: Hager, Push Plate, 30S 4x16, US26D""",,
472,Opechee Construction Corporation,H2S Brooklyn _Brooklyn NY,,"""Hardware: Hager, Kick Plate, 190S 10x46, US4""",Hardware,,2,$12.00,$3001.00,$6002.00,35%,5,$3001.00,,,,,$4051.35,$8102.70,H2S Brooklyn _Brooklyn NY_Hardware,,"H2S Brooklyn _Brooklyn NY_""Hardware: Hager, Kick Plate, 190S 10x46, US4""",,,,35%,H2S Brooklyn _Brooklyn NY,recMVvtxnsuyKchnW,recWRRjQRW0oXkCcB,,,"""Hardware: Hager, Kick Plate, 190S 10x46, US4""",,
